#X,A001->Z_Acceleration(abs)
#Time(sec),Acceleration(mm/sec^2)_Real
0.000000E+00,58.022348
1.000000E-02,175.018301
2.000000E-02,295.079038
3.000000E-02,413.721200
4.000000E-02,525.388285
5.000000E-02,623.810736
6.000000E-02,702.587707
7.000000E-02,755.936223
8.000000E-02,779.488088
9.000000E-02,770.971175
1.000000E-01,730.611828
1.100000E-01,661.149293
1.200000E-01,567.451373
1.300000E-01,455.821088
1.400000E-01,333.156940
1.500000E-01,206.143925
1.600000E-01,80.615496
1.700000E-01,-38.840160
1.800000E-01,-149.026480
1.900000E-01,-248.083220
2.000000E-01,-335.298627
2.100000E-01,-410.857890
2.200000E-01,-475.582107
2.300000E-01,-530.693185
2.400000E-01,-577.622008
2.500000E-01,-617.864395
2.600000E-01,-652.881312
2.700000E-01,-684.034638
2.800000E-01,-712.550721
2.900000E-01,-739.502353
3.000000E-01,-765.801626
3.100000E-01,-792.198904
3.200000E-01,-819.282213
3.300000E-01,-847.473733
3.400000E-01,-877.020814
3.500000E-01,-907.978005
3.600000E-01,-940.178791
3.700000E-01,-973.193500
3.800000E-01,-1006.272215
3.900000E-01,-1038.269612
4.000000E-01,-1067.551247
4.100000E-01,-1091.880930
4.200000E-01,-1108.293398
4.300000E-01,-1112.959438
4.400000E-01,-1101.060898
4.500000E-01,-1066.703563
4.600000E-01,-1002.912028
4.700000E-01,-901.769561
4.800000E-01,-754.785819
4.900000E-01,-553.586573
5.000000E-01,-291.009262
5.100000E-01,37.355918
5.200000E-01,431.244745
5.300000E-01,883.653951
5.400000E-01,1379.079449
5.500000E-01,1892.700448
5.600000E-01,2391.204397
5.700000E-01,2835.734234
5.800000E-01,3186.901927
5.900000E-01,3411.060765
6.000000E-01,3486.348636
6.100000E-01,3406.810378
6.200000E-01,3183.350945
6.300000E-01,2841.269112
6.400000E-01,2415.209122
6.500000E-01,1943.064681
6.600000E-01,1460.418396
6.700000E-01,996.606526
6.800000E-01,572.787195
6.900000E-01,201.788402
7.000000E-01,-110.823816
7.100000E-01,-365.069802
7.200000E-01,-564.770638
7.300000E-01,-715.963544
7.400000E-01,-825.662347
7.500000E-01,-900.985036
7.600000E-01,-948.604175
7.700000E-01,-974.447006
7.800000E-01,-983.572947
7.900000E-01,-980.163783
8.000000E-01,-967.580400
8.100000E-01,-948.450655
8.200000E-01,-924.767782
8.300000E-01,-897.985682
8.400000E-01,-869.104009
8.500000E-01,-838.740431
8.600000E-01,-807.188894
8.700000E-01,-774.466173
8.800000E-01,-740.346867
8.900000E-01,-704.390866
9.000000E-01,-665.965875
9.100000E-01,-624.268660
9.200000E-01,-578.349615
9.300000E-01,-527.146117
9.400000E-01,-469.530273
9.500000E-01,-404.379413
9.600000E-01,-330.674209
9.700000E-01,-247.632091
9.800000E-01,-154.876723
9.900000E-01,-52.639544
1.000000E+00,58.021885
1.010000E+00,175.018037
1.020000E+00,295.079038
1.030000E+00,413.721200
1.040000E+00,525.388285
1.050000E+00,623.810736
1.060000E+00,702.587707
1.070000E+00,755.936223
1.080000E+00,779.488088
1.090000E+00,770.971175
1.100000E+00,730.611828
1.110000E+00,661.149293
1.120000E+00,567.451373
1.130000E+00,455.821088
1.140000E+00,333.156940
1.150000E+00,206.143925
1.160000E+00,80.615496
1.170000E+00,-38.840160
1.180000E+00,-149.026480
1.190000E+00,-248.083220
1.200000E+00,-335.298627
1.210000E+00,-410.857890
1.220000E+00,-475.582107
1.230000E+00,-530.693185
1.240000E+00,-577.622008
1.250000E+00,-617.864395
1.260000E+00,-652.881312
1.270000E+00,-684.034638
1.280000E+00,-712.550721
1.290000E+00,-739.502353
1.300000E+00,-765.801626
1.310000E+00,-792.198904
1.320000E+00,-819.282213
1.330000E+00,-847.473733
1.340000E+00,-877.020814
1.350000E+00,-907.978005
1.360000E+00,-940.178791
1.370000E+00,-973.193500
1.380000E+00,-1006.272215
1.390000E+00,-1038.269612
1.400000E+00,-1067.551247
1.410000E+00,-1091.880930
1.420000E+00,-1108.293398
1.430000E+00,-1112.959438
1.440000E+00,-1101.060898
1.450000E+00,-1066.703563
1.460000E+00,-1002.912028
1.470000E+00,-901.769561
1.480000E+00,-754.785819
1.490000E+00,-553.586573
1.500000E+00,-291.009262
1.510000E+00,37.355918
1.520000E+00,431.244745
1.530000E+00,883.653951
1.540000E+00,1379.079449
1.550000E+00,1892.700448
1.560000E+00,2391.204397
1.570000E+00,2835.734234
1.580000E+00,3186.901927
1.590000E+00,3411.060765
1.600000E+00,3486.348636
1.610000E+00,3406.810378
1.620000E+00,3183.350945
1.630000E+00,2841.269112
1.640000E+00,2415.209122
1.650000E+00,1943.064681
1.660000E+00,1460.418396
1.670000E+00,996.606526
1.680000E+00,572.787195
1.690000E+00,201.788402
1.700000E+00,-110.823816
1.710000E+00,-365.069802
1.720000E+00,-564.770638
1.730000E+00,-715.963544
1.740000E+00,-825.662347
1.750000E+00,-900.985036
1.760000E+00,-948.604175
1.770000E+00,-974.447006
1.780000E+00,-983.572947
1.790000E+00,-980.163783
1.800000E+00,-967.580400
1.810000E+00,-948.450655
1.820000E+00,-924.767782
1.830000E+00,-897.985682
1.840000E+00,-869.104009
1.850000E+00,-838.740431
1.860000E+00,-807.188894
1.870000E+00,-774.466173
1.880000E+00,-740.346867
1.890000E+00,-704.390866
1.900000E+00,-665.965875
1.910000E+00,-624.268660
1.920000E+00,-578.349615
1.930000E+00,-527.146117
1.940000E+00,-469.530273
1.950000E+00,-404.379413
1.960000E+00,-330.674209
1.970000E+00,-247.632091
1.980000E+00,-154.876723
1.990000E+00,-52.639544
2.000000E+00,58.021885


